 United Arab Emirates,59,,65,,64,,82,,87,,85,,82,,84,,92,,
 United Kingdom,51,,,,80,,71,,83,,86,,84,,78,,88,,
 United States,61,,71,,59,,64,,73,,74,,75,,71,,71,,
 Uruguay,43,,42,,63,,76,,89,,,,,,70,,,,
 Uzbekistan,56,,41,,25,,28,,26,,25,,,,,,,,
 Vanuatu,,,,,,,114,,94,,,,,,97,,,,
 Venezuela (Bolivarian Republic of),37,,42,,48,,57,,73,,74,,72,,76,,73,,
 Viet Nam,31,,33,,41,,59,,71,,74,,78,,82,,81,,
 Yemen,,,,,,,1,,1,,1,,,,1,,,,
 Zimbabwe,,,34,,61,,,,,,,,41,,42,,,,
